noise_fraction,noise_percent,strategy,annualized_sharpe,cumulative_return,mean_period_return,mean_directional_accuracy,observations
0.45,45,Strategy 1: raw-return signs,-0.6724148798093893,-0.0139874176908652,-0.0006788359119704178,0.4854166666666666,20
0.45,45,Strategy 2: normalized-return signs,-1.8393236323287687,-0.04032923364818608,-0.0020260929326124245,0.45833333333333337,20
0.45,45,Buy-and-hold,-3.207353108490922,-0.026668740682179615,-0.001346268408570692,,20
0.3,30,Strategy 1: raw-return signs,2.4988643703695406,0.05255496223775591,0.0025908674814913556,0.55625,20
0.3,30,Strategy 2: normalized-return signs,0.7400540985532719,0.015325227646715955,0.0007888527395840918,0.5125,20
0.3,30,Buy-and-hold,-3.207353108490922,-0.026668740682179615,-0.001346268408570692,,20
0.15,15,Strategy 1: raw-return signs,0.5080902458961781,0.009247675506032671,0.0004826838563878061,0.5041666666666668,20
0.15,15,Strategy 2: normalized-return signs,-1.1082554152141066,-0.019950276768222364,-0.0009874561069343338,0.4666666666666666,20
0.15,15,Buy-and-hold,-3.207353108490922,-0.026668740682179615,-0.001346268408570692,,20
0.1,10,Strategy 1: raw-return signs,2.3502483281179267,0.04231875620023007,0.0020941273814592304,0.5270833333333333,20
0.1,10,Strategy 2: normalized-return signs,0.3929960049451197,0.007393301578195066,0.0003930489481112459,0.48749999999999993,20
0.1,10,Buy-and-hold,-3.207353108490922,-0.026668740682179615,-0.001346268408570692,,20
